;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Z7 - Zoznam prípravkov;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;1 Názov prípravku;2 Chemická látka;3 âíslo autorizácie;4 DrÏiteº;4b DrÏiteº názov;5 Formulácia;6 Funkcia prípravku;;7 Dátum ukonãenia platnosti autorizácie;8 Typ pouÏívateºa;9a Paraleln˘ obchod;9b Paraleln˘ obchod;10 Identická autorizácia;11 Typ prípravku;12 Referenãn˘ prípravok;13 Dátum ukonãenia predaja;14 Dátum ukonãenia spotreby;15 Stav rozhodnutia;16 SIGNAL;17 GHS;18 EUH;19 H;20 P;21 PHO;22 SP;23 V;24 Vc;25 Vo;26 Vt;27 Z
;MIRADOR FORTE;Azoxystrobin (60.000 g/l),Tebuconazole (100.000 g/l);15-02-1597;ADA;Adama Agriculture Slovensko spol. s.r.o.;EC;F;;31.08.2019;Profi;N;N;N;Pripravok;;28.02.2020;28.02.2021;neautorizovany;Pozor;GHS07,GHS08,GHS09;EUH208,EUH401;H319,H361d,H410;P201,P280,P305+P351+P338,P501;;SP 1,SPe 1,SPe 3;V3;Vc - bez oznaãenia;Vo1;Vt5;Z4
;LEGATO 500 SC;Diflufenican (500.000 g/l);15-11-1596;ADA;Adama Agriculture Slovensko spol. s.r.o.;SC;H;;31.12.2021;Profi;N;N;N;Pripravok;;30.06.2022;30.06.2023;autorizovany;Pozor;GHS09;EUH208,EUH401;H410;P273,P280,P501;-;SP 1,SPe 3;V3;Vã3;Vo3;Vt5;Z4
;CUSTODIA;Azoxystrobin (120.000 g/l),Tebuconazole (200.000 g/l);16-02-1731;ADA;Adama Agriculture Slovensko spol. s.r.o.;SC;F;;31.08.2021;Profi;N;N;N;Pripravok;;28.02.2022;28.02.2023;autorizovany;Pozor;GHS07,GHS08,GHS09;EUH208,EUH401;H302,H361d,H411;P102,P201,P202,P270,P273,P280,P308+P313,P391,P501;PHO1;SP 1,SPe 3;V3;Vã3;Vo4;Vt1;Z4
;ETHOSAT 500;Ethofumesate (500.000 g/l);15-11-1629;ADA;Adama Agriculture Slovensko spol. s.r.o.;SC;H;;31.07.2018;Profi;N;N;N;Pripravok;;31.01.2019;31.01.2020;neautorizovany;Pozor;GHS09;EUH208,EUH401;H411;P273,P280,P501;;;V2;Vã3;Vo2;Vt5;Z4
;EMBRELIA;Difenoconazole (40.000 g/l),Isopyrazam (100.000 g/l);19-00537-AU;ADA;Adama Agriculture Slovensko spol. s.r.o.;SC;F;;31.12.2021;Profi;N;N;N;Pripravok;;30.06.2022;30.06.2023;autorizovany;Nebezpeãenstvo;GHS07,GHS08,GHS09;EUH208,EUH401;H302,H302 + H332,H317,H318,H319,H332,H351,H361d,H410;P201,P261,P264,P273,P280,P302+P352,P304+P340,P305+P351+P338,P308+P313,P310,P391,P501;;SP 1,SPe 3;V3;Vã3;Vo1;Vt5;Z4
;TAVAS;Diflufenican (62.500 g/l),Metribuzin (250.000 g/l);18-00324-AU;ADA;Adama Agriculture Slovensko spol. s.r.o.;SC;H;;31.07.2021;Profi;N;N;N;Pripravok;;31.01.2022;31.01.2023;autorizovany;Pozor;GHS09;EUH208,EUH401;H410;P102,P273,P391,P501;PHO1;SP 1,SPe 3;V3;Vã3;Vo1;Vt5;Z4
;ACTIVUS SC;Pendimethalin (400.000 g/l);15-11-1661;ADA;Adama Agriculture Slovensko spol. s.r.o.;SC;H;;31.07.2024;Profi;N;N;N;Pripravok;;31.01.2025;31.01.2026;autorizovany;Pozor;GHS09;EUH208,EUH401;H410;P101,P270,P273,P280,P391,P501;;SP 1,SPe 3;V3;Vã3;Vo1;Vt5;Z4
;ARTEMIS;Fenpropidin (150.000 g/l),Prochloraz (200.000 g/l),Tebuconazole (100.000 g/l);15-02-1683;ADA;Adama Agriculture Slovensko spol. s.r.o.;EC;F;;31.08.2022;Profi;N;N;N;Pripravok;;28.02.2023;28.02.2024;autorizovany;Nebezpeãenstvo;GHS05,GHS07,GHS08,GHS09;EUH208,EUH401;H318,H332,H351,H361d,H373,H410;P201,P261,P273,P280,P302+P352,P304+P340,P305+P351+P338,P391,P501;;SP 1,SPe 2,SPe 3,SPe 4;V3;Vã3;Vo2;Vt5;Z4
;PEGAS CEREAL;2,4-D (300.000 g/l),Florasulam (6.300 g/l);16-11-1838;ADA;Adama Agriculture Slovensko spol. s.r.o.;SE;H;;31.12.2031;Profi;N;N;N;Pripravok;;30.06.2032;30.06.2033;autorizovany;Pozor;GHS07,GHS09;EUH401;H317,H410;P273,P280,P302+P352,P391,P501;-;SP 1,SPe 3;V3;Vã3;Vo3;Vt5;Z4
;GOLTIX GOLD;Metamitron (700.000 g/l);15-11-1549;ADA;Adama Agriculture Slovensko spol. s.r.o.;SC;H;;31.08.2023;Profi;N;N;N;Pripravok;;28.02.2024;28.02.2025;autorizovany;Pozor;GHS07,GHS09;EUH401;H302,H411;P102,P270,P273,P391,P501;;SP 1;V3;Vã3;Vo2;Vt5;Z4
